"Prodotto","Sorgente","Destinazione","Errore"
"Cassetta Di Patate Viterbo ( 5kg )","C:\Users\info\Desktop\frutta\immagini\fruttit\cassetta-di-patate-viterbo-5kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\cassetta-di-patate-viterbo-5kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Gnocchetti All&#039;uovo 500gr","C:\Users\info\Desktop\frutta\immagini\ortitaly\gnocchetti-all-039-uovo-500gr-ortitaly.png","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\gnocchetti-all-039-uovo-500gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Ceci 500gr.","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\ceci-500gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Patate Cotte Al Vapore Senza Buccia 500gr","C:\Users\info\Desktop\frutta\immagini\fruttit\patate-cotte-al-vapore-senza-buccia-500gr-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\patate-cotte-al-vapore-senza-buccia-500gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Clementine 1kg","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\clementine-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Papaya Via Aerea 1 Frutto","C:\Users\info\Desktop\frutta\immagini\fruttit\papaya-via-aerea-1-frutto-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\papaya-via-aerea-1-frutto.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Cavolo Verza Cinese 1 Pz","C:\Users\info\Desktop\frutta\immagini\ortitaly\cavolo-verza-cinese-1-pz-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\cavolo-verza-cinese-1-pz.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Filetti Di Acciughe 250gr","C:\Users\info\Desktop\frutta\immagini\fruttit\filetti-di-acciughe-250gr-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\filetti-di-acciughe-250gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Cavoletti Toscani 1 Mazzo","C:\Users\info\Desktop\frutta\immagini\fruttit\cavoletti-toscani-1-mazzo-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\cavoletti-toscani-1-mazzo.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Insalata Iceberg 1pz","C:\Users\info\Desktop\frutta\immagini\fruttit\insalata-iceberg-1pz-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\insalata-iceberg-1pz.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Lenticchie Verdi 1 Bustina (333gr)","C:\Users\info\Desktop\frutta\immagini\fruttit\lenticchie-verdi-1-bustina-333gr-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\lenticchie-verdi-1-bustina-333gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Tamarindo ( 1 Confezione )","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\tamarindo-1-confezione.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Fungo Cardoncello","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\fungo-cardoncello.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Miele Castagno 400gr","C:\Users\info\Desktop\frutta\immagini\fruttit\miele-castagno-400gr-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\miele-castagno-400gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Olive Rosatelle 500gr.","C:\Users\info\Desktop\frutta\immagini\ortitaly\olive-rosatelle-500gr-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\olive-rosatelle-500gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Kiwi Gold Zespri","C:\Users\info\Desktop\frutta\immagini\fruttit\mela-golden-delicious-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\kiwi-gold-zespri.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Cassetta Verdura Mista","C:\Users\info\Desktop\frutta\immagini\fruttit\cassetta-frutta-e-verdura-mista-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\cassetta-verdura-mista.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Tumbo (curuba ) 1 Frutto","C:\Users\info\Desktop\frutta\immagini\fruttit\tumbo-curuba-1-frutto-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\tumbo-curuba-1-frutto.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Mela Pink Lady 1kg","C:\Users\info\Desktop\frutta\immagini\fruttit\mela-golden-delicious-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\mela-pink-lady-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Zapote 1 Frutto","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\zapote-1-frutto.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Broccolo Romanesco 1pz","C:\Users\info\Desktop\frutta\immagini\fruttit\broccolo-romanesco-1pz-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\broccolo-romanesco-1pz.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Pesca Tabacchiera ( Saturnina ) 1 Kg","C:\Users\info\Desktop\frutta\immagini\fruttit\pesca-tabacchiera-saturnina-1-kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\pesca-tabacchiera-saturnina-1-kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Melagrana Da Spremuta 1kg","C:\Users\info\Desktop\frutta\immagini\ortitaly\melagrana-da-spremuta-1kg-ortitaly.png","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\melagrana-da-spremuta-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Patate Rosse Pasta Gialla 1kg","C:\Users\info\Desktop\frutta\immagini\ortitaly\patate-rosse-pasta-gialla-1kg-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\patate-rosse-pasta-gialla-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Barbabietola Rossa Fresca 1kg","C:\Users\info\Desktop\frutta\immagini\ortitaly\barbabietola-rossa-fresca-1kg-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\barbabietola-rossa-fresca-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Lampone Rosso 125gr","C:\Users\info\Desktop\frutta\immagini\ortitaly\lampone-rosso-125gr-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\lampone-rosso-125gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Radicchio 1pz.","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\radicchio-1pz.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Cavolo Nero 1kg","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\cavolo-nero-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Pesca Noce (nettarina) 1kg","C:\Users\info\Desktop\frutta\immagini\fruttit\pesca-noce-nettarina-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\pesca-noce-nettarina-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Noci Lara Grezze 5kg","C:\Users\info\Desktop\frutta\immagini\ortitaly\noci-lara-grezze-5kg-ortitaly.jpeg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\noci-lara-grezze-5kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Fungo Pleuroteus 500gr.","C:\Users\info\Desktop\frutta\immagini\ortitaly\fungo-pleuroteus-500gr-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\fungo-pleuroteus-500gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Mele Smith 1kg","C:\Users\info\Desktop\frutta\immagini\ortitaly\mele-golden-melinda-1kg-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\mele-smith-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Ceci Messicani 500gr","C:\Users\info\Desktop\frutta\immagini\fruttit\ceci-messicani-500gr-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\ceci-messicani-500gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Patate Tagliate Chips 600gr","C:\Users\info\Desktop\frutta\immagini\ortitaly\patate-tagliate-chips-600gr-ortitaly.jpeg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\patate-tagliate-chips-600gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Fagiolini Al Burro Extrafini Puliti 500gr","C:\Users\info\Desktop\frutta\immagini\ortitaly\fagiolini-al-burro-extrafini-puliti-500gr-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\fagiolini-al-burro-extrafini-puliti-500gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Zenzero Fresco 500gr.","C:\Users\info\Desktop\frutta\immagini\ortitaly\zenzero-fresco-500gr-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\zenzero-fresco-500gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Mini Mais 1 Pezzo","C:\Users\info\Desktop\frutta\immagini\fruttit\mini-mais-1-pezzo-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\mini-mais-1-pezzo.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Mais Cotto Al Vapore 2 Pezzi","C:\Users\info\Desktop\frutta\immagini\fruttit\mais-cotto-al-vapore-2-pezzi-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\mais-cotto-al-vapore-2-pezzi.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Ravanelli","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\ravanelli.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Peperone Giallo 1kg","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\peperone-giallo-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Patate Dolci Pasta Viola 10kg","C:\Users\info\Desktop\frutta\immagini\ortitaly\patate-dolci-pasta-viola-10kg-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\patate-dolci-pasta-viola-10kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Cuori Di Sedano 1 Pz","C:\Users\info\Desktop\frutta\immagini\ortitaly\cuori-di-sedano-1-pz-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\cuori-di-sedano-1-pz.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Fagioli Rossi 1 Bustina (333gr)","C:\Users\info\Desktop\frutta\immagini\fruttit\fagioli-rossi-1-bustina-333gr-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\fagioli-rossi-1-bustina-333gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Susine ( Prugne ) Bianche 0,5kg","C:\Users\info\Desktop\frutta\immagini\fruttit\susine-prugne-bianche-0-5kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\susine-prugne-bianche-0-5kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Chips Di Barbabietola Rossa 1 Bustina","C:\Users\info\Desktop\frutta\immagini\fruttit\chips-di-barbabietola-rossa-1-bustina-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\chips-di-barbabietola-rossa-1-bustina.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Mandorle Sgusciate Pelate 200gr","C:\Users\info\Desktop\frutta\immagini\fruttit\mandorle-sgusciate-pelate-200gr-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\mandorle-sgusciate-pelate-200gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Avocado 1 Frutto","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\avocado-1-frutto.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Pistacchio Salato","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\pistacchio-salato.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Mele Golden Melinda 1kg","C:\Users\info\Desktop\frutta\immagini\ortitaly\mele-golden-melinda-1kg-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\mele-golden-melinda-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Arance Da Spremuta 1kg","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\arance-da-spremuta-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Canna Da Zucchero 1 Pezzo","C:\Users\info\Desktop\frutta\immagini\fruttit\canna-da-zucchero-1-pezzo-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\canna-da-zucchero-1-pezzo.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Radicchio Tardivo 1kg","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\radicchio-tardivo-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Pomodoro Camona 500gr","C:\Users\info\Desktop\frutta\immagini\ortitaly\pomodoro-camona-500gr-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\pomodoro-camona-500gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Aglio Nero 3pz.","C:\Users\info\Desktop\frutta\immagini\ortitaly\aglio-nero-3pz-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\aglio-nero-3pz.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Datterino Rosso","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\datterino-rosso.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Pandan 1 Cassa ( 2 Kg ) Su Ordinazione","C:\Users\info\Desktop\frutta\immagini\fruttit\pandan-1-cassa-2-kg-su-ordinazione-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\pandan-1-cassa-2-kg-su-ordinazione.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Mela Cotogna 1 Kg","C:\Users\info\Desktop\frutta\immagini\fruttit\mela-golden-delicious-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\mela-cotogna-1-kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Pitaya Rossa ( Dragon Fruit ) 1 Pezzo","C:\Users\info\Desktop\frutta\immagini\fruttit\pitaya-rossa-dragon-fruit-1-pezzo-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\pitaya-rossa-dragon-fruit-1-pezzo.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Cocco ( 1 Frutto )","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\cocco-1-frutto.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Lenticchia 500gr.","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\lenticchia-500gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Cassetta Frutta Mista","C:\Users\info\Desktop\frutta\immagini\fruttit\cassetta-frutta-e-verdura-mista-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\cassetta-frutta-mista.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Asparago Bianco 1kg","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\asparago-bianco-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Prugna Secca","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\prugna-secca.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Valeriana Fresca","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\valeriana-fresca.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Ramboutan ( 1 Cassa )","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\ramboutan-1-cassa.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Borragine 3kg","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\borragine-3kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Crauti Viola 1pz","C:\Users\info\Desktop\frutta\immagini\ortitaly\crauti-viola-1pz-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\crauti-viola-1pz.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Fungo Champignon 300gr.","C:\Users\info\Desktop\frutta\immagini\ortitaly\fungo-champignon-300gr-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\fungo-champignon-300gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Mangostano 1 Frutto","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\mangostano-1-frutto.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Melanzane A Filetti 1kg","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\melanzane-a-filetti-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Daikon 1pz","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\daikon-1pz.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Rosmarino Fresco","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\rosmarino-fresco.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Fichi Secchi Vassoio Da 250gr","C:\Users\info\Desktop\frutta\immagini\fruttit\fichi-secchi-vassoio-da-250gr-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\fichi-secchi-vassoio-da-250gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Paccheri Acqua E Farina 500gr","C:\Users\info\Desktop\frutta\immagini\ortitaly\paccheri-acqua-e-farina-500gr-ortitaly.png","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\paccheri-acqua-e-farina-500gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Pere Williams Opera 1 Kg","C:\Users\info\Desktop\frutta\immagini\fruttit\pere-williams-opera-1-kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\pere-williams-opera-1-kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Zucca Butternut 2kg","C:\Users\info\Desktop\frutta\immagini\ortitaly\zucca-butternut-2kg-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\zucca-butternut-2kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Arance Tarocco 1kg","C:\Users\info\Desktop\frutta\immagini\ortitaly\arance-tarocco-1kg-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\arance-tarocco-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Mele Royal 1kg","C:\Users\info\Desktop\frutta\immagini\ortitaly\mele-golden-melinda-1kg-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\mele-royal-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Olive Verdi Dolci 500gr.","C:\Users\info\Desktop\frutta\immagini\ortitaly\olive-verdi-dolci-500gr-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\olive-verdi-dolci-500gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Zucca Asterix 1 Pezzo","C:\Users\info\Desktop\frutta\immagini\fruttit\zucca-asterix-1-pezzo-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\zucca-asterix-1-pezzo.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Fagiolini Al Burro Extrafini 500gr","C:\Users\info\Desktop\frutta\immagini\ortitaly\fagiolini-al-burro-extrafini-500gr-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\fagiolini-al-burro-extrafini-500gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"More 125gr","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\more-125gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Ribes Rosso","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\ribes-rosso.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Carciofo Violetto 1 Pz","C:\Users\info\Desktop\frutta\immagini\fruttit\carciofo-violetto-1-pz-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\carciofo-violetto-1-pz.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Ananas Baby ( 1 Cassa ) 4 Frutti","C:\Users\info\Desktop\frutta\immagini\fruttit\ananas-baby-1-cassa-4-frutti-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\ananas-baby-1-cassa-4-frutti.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Fiori Di Zucca 1 Confezione","C:\Users\info\Desktop\frutta\immagini\ortitaly\fiori-di-zucca-1-confezione-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\fiori-di-zucca-1-confezione.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Melagrana Da Spremuta 5kg","C:\Users\info\Desktop\frutta\immagini\ortitaly\melagrana-da-spremuta-5kg-ortitaly.png","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\melagrana-da-spremuta-5kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Kiwano ( 1 Frutto )","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\kiwano-1-frutto.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Cavolfiore Bianco 1pz","C:\Users\info\Desktop\frutta\immagini\ortitaly\cavolfiore-bianco-1pz-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\cavolfiore-bianco-1pz.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Pere Abate 1kg","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\pere-abate-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Anacardo Tostato","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\anacardo-tostato.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Carciofo Violetto","C:\Users\info\Desktop\frutta\immagini\fruttit\arance-navel-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\carciofo-violetto.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Arachidi Sgusciati Salati 1kg","C:\Users\info\Desktop\frutta\immagini\fruttit\arachidi-sgusciati-salati-1kg-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\arachidi-sgusciati-salati-1kg.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Arachidi In Guscio 500gr.","C:\Users\info\Desktop\frutta\immagini\ortitaly\arachidi-in-guscio-500gr-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\arachidi-in-guscio-500gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Gallette Di Platano 135gr","C:\Users\info\Desktop\frutta\immagini\fruttit\gallette-di-platano-135gr-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\gallette-di-platano-135gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Crauti Bianchi 1pz","C:\Users\info\Desktop\frutta\immagini\ortitaly\crauti-bianchi-1pz-ortitaly.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\crauti-bianchi-1pz.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
"Prugne Secche Extralarge 250gr","C:\Users\info\Desktop\frutta\immagini\fruttit\prugne-secche-extralarge-250gr-fruttit.jpg","c:\Users\info\Documents\Claudeagentica\frutta-gest\public\images\products\prugne-secche-extralarge-250gr.jpg","Impossibile trovare un parametro corrispondente al nome 'and'."
